Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
CC Lewis, England; Nottinghamshire; Surrey; England XI; Leicestershire, 6, 11, 1290, 35, 659, 27, 24.4, 0, 0, 1, 0, 5/74, 7/133
DC Morgan, TN Pearce's XI; AER Gilligan's XI; Players; Marylebone Cricket Club; The Rest; England XI; Derbyshire, 11, 18, 1905, 119, 670, 27, 24.81, 0, 0, 2, 1, 6/36, 11/60
KE Palmer, Young England; International Cavaliers; Marylebone Cricket Club; England; Somerset; The Rest; Commonwealth XI, 9, 15, 1133, 39, 601, 27, 22.25, 0, 0, 3, 0, 5/55, 8/113
T Rushby, Surrey; Players, 8, 16, 1537, 73, 616, 27, 22.81, 0, 0, 1, 0, 5/7, 5/67
W Voce, Nottinghamshire; North; South; The Rest; England; Marylebone Cricket Club; Players; Combined Services; Marylebone Cricket Club South African Touring Team; Marylebone Cricket Club Australian Touring Team; England Past and Present, 8, 14, 1448, 79, 483, 27, 17.88, 0, 0, 2, 0, 6/40, 9/96
WE Bowes, England; Marylebone Cricket Club; Yorkshire; The Rest; Players; HDG Leveson-Gower's XI; Marylebone Cricket Club Australian Touring Team, 5, 8, 817, 36, 219, 26, 8.42, 0, 0, 4, 2, 7/34, 10/47
G Chapple, England A; The Rest; Lancashire, 8, 16, 1616, 55, 796, 26, 30.61, 0, 0, 1, 0, 5/60, 9/137
C Cook, South; West; England; Marylebone Cricket Club; Gloucestershire, 8, 13, 1986, 122, 667, 26, 25.65, 0, 0, 3, 1, 6/45, 11/90
JE Emburey, Northamptonshire; Western Province; England XI; Middlesex; England; Marylebone Cricket Club; Test and County Cricket Board XI; South African Breweries English XI; DB Close's XI; Young England; DH Robins' XI, 10, 17, 2048, 92, 823, 26, 31.65, 0, 0, 0, 0, 4/70, 5/102
PF Jackson, North; The Rest; Worcestershire, 7, 12, 1550, 71, 567, 26, 21.8, 0, 0, 2, 0, 5/26, 8/85
VE Jackson, Leicestershire; KE Rigg's XI; Commonwealth XI; Sir J Cahn's XI; DG Bradman's XI; New South Wales; North, 12, 16, 2327, 140, 801, 26, 30.8, 0, 0, 0, 0, 3/21, 5/65
Khalid Ibadulla, Tasmania Combined XI; Pakistan; Punjab; Punjab Governor's XI; Warwickshire; Commonwealth XI; Pakistanis; Rest of the World XI; Pakistan XI; International XI; Tasmania; Otago, 8, 12, 1393, 73, 545, 26, 20.96, 0, 0, 2, 0, 7/67, 8/83
SP Kirby, England Lions; England A; Yorkshire; Marylebone Cricket Club; Gloucestershire; Somerset, 5, 9, 998, 43, 484, 26, 18.61, 0, 0, 2, 0, 5/60, 7/117
TJ Murtagh, British Universities; Ireland; Marylebone Cricket Club; Middlesex; Surrey, 8, 15, 1541, 49, 808, 26, 31.07, 0, 0, 2, 0, 6/80, 7/106
MJ Nicholson, Western Australia; Northamptonshire; Australians; Australia; New South Wales; Surrey; Australia A, 7, 12, 1238, 39, 663, 26, 25.5, 0, 0, 2, 0, 7/62, 9/90
AP Palladino, Namibia; British Universities; Cambridge University Centre of Cricketing Excellence; Essex; Derbyshire, 7, 13, 1494, 60, 669, 26, 25.73, 0, 0, 1, 0, 5/82, 7/125
